name1,name2,docs1,docs2,code1,code2,docs_score,code_score
gcd,euclidean_gcd,"gcd Euclid's Algorithm.
gcd{𝑎,𝑏}=gcd{−𝑎,𝑏}=gcd{𝑎,−𝑏}=gcd{−𝑎,−𝑏}
See proof: https://proofwiki.org/wiki/GCD_for_Negative_Integers","euclidean_gcd >>> euclidean_gcd(3, 5)
1

>>> euclidean_gcd(6, 3)
3","def gcd(a, b):
    """"""Computes the greatest common divisor of integers a and b using
    Euclid's Algorithm.
    gcd{𝑎,𝑏}=gcd{−𝑎,𝑏}=gcd{𝑎,−𝑏}=gcd{−𝑎,−𝑏}
    See proof: https://proofwiki.org/wiki/GCD_for_Negative_Integers
    """"""
    a_int = isinstance(a, int)
    b_int = isinstance(b, int)
    a = abs(a)
    b = abs(b)
    if not (a_int or b_int):
        raise ValueError('Input arguments are not integers')
    if a == 0 or b == 0:
        raise ValueError('One or more input arguments equals zero')
    while b != 0:
        (a, b) = (b, a % b)
    return a","def euclidean_gcd(a: int, b: int) -> int:
    """"""
    Examples:
    >>> euclidean_gcd(3, 5)
    1

    >>> euclidean_gcd(6, 3)
    3
    """"""
    while b:
        (a, b) = (b, a % b)
    return a",0.6016261,0.9977596
num_perfect_squares,perfect_square,num_perfect_squares Returns the smallest number of perfect squares that sum to the specified number.,perfect_square Check if a number is perfect square number or not,"def num_perfect_squares(number):
    """"""
    Returns the smallest number of perfect squares that sum to the specified number.
    :return: int between 1 - 4
    """"""
    if int(math.sqrt(number)) ** 2 == number:
        return 1
    while number > 0 and number % 4 == 0:
        number /= 4
    if number % 8 == 7:
        return 4
    for i in range(1, int(math.sqrt(number)) + 1):
        if int(math.sqrt(number - i ** 2)) ** 2 == number - i ** 2:
            return 2
    return 3","def perfect_square(num: int) -> bool:
    """"""
    Check if a number is perfect square number or not
    :param num: the number to be checked
    :return: True if number is square number, otherwise False

    >>> perfect_square(9)
    True
    >>> perfect_square(16)
    True
    >>> perfect_square(1)
    True
    >>> perfect_square(0)
    True
    >>> perfect_square(10)
    False
    """"""
    return math.sqrt(num) * math.sqrt(num) == num",0.7017091,0.99783957
_l2_distance,euclidean,_l2_distance Calculate l2 distance from two given vectors.,euclidean Calculates euclidean distance between two data.,"def _l2_distance(vec):
    """"""
    Calculate l2 distance from two given vectors.
    """"""
    norm = 0.0
    for element in vec:
        norm += element * element
    norm = math.sqrt(norm)
    return norm","def euclidean(input_a: np.ndarray, input_b: np.ndarray) -> float:
    """"""
    Calculates euclidean distance between two data.
    :param input_a: ndarray of first vector.
    :param input_b: ndarray of second vector.
    :return: Euclidean distance of input_a and input_b. By using math.sqrt(),
             result will be float.

    >>> euclidean(np.array([0]), np.array([1]))
    1.0
    >>> euclidean(np.array([0, 1]), np.array([1, 1]))
    1.0
    >>> euclidean(np.array([0, 0, 0]), np.array([0, 0, 1]))
    1.0
    """"""
    return math.sqrt(sum((pow(a - b, 2) for (a, b) in zip(input_a, input_b))))",0.74835193,0.9953994
cosine_similarity,cosine_similarity,cosine_similarity Calculate cosine similarity between given two vectors,cosine_similarity Calculates cosine similarity between two data.,"def cosine_similarity(vec1, vec2):
    """"""
    Calculate cosine similarity between given two vectors
    :type vec1: list
    :type vec2: list
    """"""
    if len(vec1) != len(vec2):
        raise ValueError('The two vectors must be the same length. Got shape ' + str(len(vec1)) + ' and ' + str(len(vec2)))
    norm_a = _l2_distance(vec1)
    norm_b = _l2_distance(vec2)
    similarity = 0.0
    for (vec1_element, vec2_element) in zip(vec1, vec2):
        similarity += vec1_element * vec2_element
    similarity /= norm_a * norm_b
    return similarity","def cosine_similarity(input_a: np.ndarray, input_b: np.ndarray) -> float:
    """"""
    Calculates cosine similarity between two data.
    :param input_a: ndarray of first vector.
    :param input_b: ndarray of second vector.
    :return: Cosine similarity of input_a and input_b. By using math.sqrt(),
             result will be float.

    >>> cosine_similarity(np.array([1]), np.array([1]))
    1.0
    >>> cosine_similarity(np.array([1, 2]), np.array([6, 32]))
    0.9615239476408232
    """"""
    return np.dot(input_a, input_b) / (norm(input_a) * norm(input_b))",0.92787814,0.9999505
magic_number,is_magic_gon,magic_number Checks if n is a magic number ,"is_magic_gon Check that the first number is the smallest number on the outer ring
Take a list, and check if the sum of each 3 numbers chunk is equal to the same total

>>> is_magic_gon([4, 2, 3, 5, 3, 1, 6, 1, 2])
True
>>> is_magic_gon([4, 3, 2, 6, 2, 1, 5, 1, 3])
True
>>> is_magic_gon([2, 3, 5, 4, 5, 1, 6, 1, 3])
True
>>> is_magic_gon([1, 2, 3, 4, 5, 6, 7, 8, 9])
False
>>> is_magic_gon([1])
Traceback (most recent call last):
ValueError: a gon ring should have a length that is a multiple of 3","def magic_number(n):
    """""" Checks if n is a magic number """"""
    total_sum = 0
    while n > 0 or total_sum > 9:
        if n == 0:
            n = total_sum
            total_sum = 0
        total_sum += n % 10
        n //= 10
    return total_sum == 1","def is_magic_gon(numbers: list[int]) -> bool:
    """"""
    Check if the solution set is a magic n-gon ring
    Check that the first number is the smallest number on the outer ring
    Take a list, and check if the sum of each 3 numbers chunk is equal to the same total

    >>> is_magic_gon([4, 2, 3, 5, 3, 1, 6, 1, 2])
    True
    >>> is_magic_gon([4, 3, 2, 6, 2, 1, 5, 1, 3])
    True
    >>> is_magic_gon([2, 3, 5, 4, 5, 1, 6, 1, 3])
    True
    >>> is_magic_gon([1, 2, 3, 4, 5, 6, 7, 8, 9])
    False
    >>> is_magic_gon([1])
    Traceback (most recent call last):
    ValueError: a gon ring should have a length that is a multiple of 3
    """"""
    if len(numbers) % 3 != 0:
        raise ValueError('a gon ring should have a length that is a multiple of 3')
    if min(numbers[::3]) != numbers[0]:
        return False
    total = sum(numbers[:3])
    return all((sum(numbers[i:i + 3]) == total for i in range(3, len(numbers), 3)))",0.6882748,0.35960293
solve_chinese_remainder,chinese_remainder_theorem2,"solve_chinese_remainder for a system of equations.
The system of equations has the form:
x % nums[0] = rems[0]
x % nums[1] = rems[1]
...
x % nums[k - 1] = rems[k - 1]
Where k is the number of elements in nums and rems, k > 0.
All numbers in nums needs to be pariwise coprime otherwise an exception is raised
returns x: the smallest value for x that satisfies the system of equations","chinese_remainder_theorem2 31

>>> chinese_remainder_theorem2(6,1,4,3)
14","def solve_chinese_remainder(nums: List[int], rems: List[int]):
    """"""
    Computes the smallest x that satisfies the chinese remainder theorem
    for a system of equations.
    The system of equations has the form:
    x % nums[0] = rems[0]
    x % nums[1] = rems[1]
    ...
    x % nums[k - 1] = rems[k - 1]
    Where k is the number of elements in nums and rems, k > 0.
    All numbers in nums needs to be pariwise coprime otherwise an exception is raised
    returns x: the smallest value for x that satisfies the system of equations
    """"""
    if not len(nums) == len(rems):
        raise Exception('nums and rems should have equal length')
    if not len(nums) > 0:
        raise Exception('Lists nums and rems need to contain at least one element')
    for num in nums:
        if not num > 1:
            raise Exception('All numbers in nums needs to be > 1')
    if not _check_coprime(nums):
        raise Exception('All pairs of numbers in nums are not coprime')
    k = len(nums)
    x = 1
    while True:
        i = 0
        while i < k:
            if x % nums[i] != rems[i]:
                break
            i += 1
        if i == k:
            return x
        x += 1","def chinese_remainder_theorem2(n1: int, r1: int, n2: int, r2: int) -> int:
    """"""
    >>> chinese_remainder_theorem2(5,1,7,3)
    31

    >>> chinese_remainder_theorem2(6,1,4,3)
    14

    """"""
    (x, y) = (invert_modulo(n1, n2), invert_modulo(n2, n1))
    m = n1 * n2
    n = r2 * x * n1 + r1 * y * n2
    return (n % m + m) % m",0.6668497,0.98138684
extended_gcd,extended_gcd,"extended_gcd Return s, t, g
such that num1 * s + num2 * t = GCD(num1, num2)
and s and t are co-prime.","extended_gcd and y, then d = gcd(a,b)
>>> extended_gcd(10, 6)
(2, -1, 2)

>>> extended_gcd(7, 5)
(1, -2, 3)

** extended_gcd function is used when d = gcd(a,b) is required in output","def extended_gcd(num1, num2):
    """"""Extended GCD algorithm.
    Return s, t, g
    such that num1 * s + num2 * t = GCD(num1, num2)
    and s and t are co-prime.
    """"""
    (old_s, s) = (1, 0)
    (old_t, t) = (0, 1)
    (old_r, r) = (num1, num2)
    while r != 0:
        quotient = old_r / r
        (old_r, r) = (r, old_r - quotient * r)
        (old_s, s) = (s, old_s - quotient * s)
        (old_t, t) = (t, old_t - quotient * t)
    return (old_s, old_t, old_r)","def extended_gcd(a: int, b: int) -> tuple[int, int, int]:
    """"""
    Extended Euclid's Algorithm : If d divides a and b and d = a*x + b*y for integers x
    and y, then d = gcd(a,b)
    >>> extended_gcd(10, 6)
    (2, -1, 2)

    >>> extended_gcd(7, 5)
    (1, -2, 3)

    ** extended_gcd function is used when d = gcd(a,b) is required in output

    """"""
    assert a >= 0 and b >= 0
    if b == 0:
        (d, x, y) = (a, 1, 0)
    else:
        (d, p, q) = extended_gcd(b, a % b)
        x = q
        y = p - q * (a // b)
    assert a % d == 0 and b % d == 0
    assert d == a * x + b * y
    return (d, x, y)",0.6347424,0.9998264
modular_inverse,modular_exponential,modular_inverse a and m must be coprime,"modular_exponential 1
>>> modular_exponential(2, 8, 7)
4
>>> modular_exponential(3, -2, 9)
-1","def modular_inverse(a: int, m: int) -> int:
    """"""
    Returns x such that a * x = 1 (mod m)
    a and m must be coprime
    """"""
    (s, _, g) = extended_gcd(a, m)
    if g != 1:
        raise ValueError('a and m must be coprime')
    return s % m","def modular_exponential(base: int, power: int, mod: int):
    """"""
    >>> modular_exponential(5, 0, 10)
    1
    >>> modular_exponential(2, 8, 7)
    4
    >>> modular_exponential(3, -2, 9)
    -1
    """"""
    if power < 0:
        return -1
    base %= mod
    result = 1
    while power > 0:
        if power & 1:
            result = result * base % mod
        power = power >> 1
        base = base * base % mod
    return result",0.6649908,0.58455765
decimal_to_binary_util,decimal_to_binary,decimal_to_binary_util Convert 8-bit decimal number to binary representation,"decimal_to_binary >>> decimal_to_binary(0)
'0b0'
>>> decimal_to_binary(2)
'0b10'
>>> decimal_to_binary(7)
'0b111'
>>> decimal_to_binary(35)
'0b100011'
>>> # negatives work too
>>> decimal_to_binary(-2)
'-0b10'
>>> # other floats will error
>>> decimal_to_binary(16.16) # doctest: +ELLIPSIS
Traceback (most recent call last):
    ...
TypeError: 'float' object cannot be interpreted as an integer
>>> # strings will error as well
>>> decimal_to_binary('0xfffff') # doctest: +ELLIPSIS
Traceback (most recent call last):
    ...
TypeError: 'str' object cannot be interpreted as an integer","def decimal_to_binary_util(val):
    """"""
    Convert 8-bit decimal number to binary representation
    :type val: str
    :rtype: str
    """"""
    bits = [128, 64, 32, 16, 8, 4, 2, 1]
    val = int(val)
    binary_rep = ''
    for bit in bits:
        if val >= bit:
            binary_rep += str(1)
            val -= bit
        else:
            binary_rep += str(0)
    return binary_rep","def decimal_to_binary(num: int) -> str:
    """"""
    Convert an Integer Decimal Number to a Binary Number as str.
    >>> decimal_to_binary(0)
    '0b0'
    >>> decimal_to_binary(2)
    '0b10'
    >>> decimal_to_binary(7)
    '0b111'
    >>> decimal_to_binary(35)
    '0b100011'
    >>> # negatives work too
    >>> decimal_to_binary(-2)
    '-0b10'
    >>> # other floats will error
    >>> decimal_to_binary(16.16) # doctest: +ELLIPSIS
    Traceback (most recent call last):
        ...
    TypeError: 'float' object cannot be interpreted as an integer
    >>> # strings will error as well
    >>> decimal_to_binary('0xfffff') # doctest: +ELLIPSIS
    Traceback (most recent call last):
        ...
    TypeError: 'str' object cannot be interpreted as an integer
    """"""
    if isinstance(num, float):
        raise TypeError(""'float' object cannot be interpreted as an integer"")
    if isinstance(num, str):
        raise TypeError(""'str' object cannot be interpreted as an integer"")
    if num == 0:
        return '0b0'
    negative = False
    if num < 0:
        negative = True
        num = -num
    binary: list[int] = []
    while num > 0:
        binary.insert(0, num % 2)
        num >>= 1
    if negative:
        return '-0b' + ''.join((str(e) for e in binary))
    return '0b' + ''.join((str(e) for e in binary))",0.7411867,0.99344516
decimal_to_binary_ip,local_binary_value,decimal_to_binary_ip Convert dotted-decimal ip address to binary representation with help of decimal_to_binary_util,"local_binary_value decimal value of the local binary patternof the pixel
at that coordinate","def decimal_to_binary_ip(ip):
    """"""
    Convert dotted-decimal ip address to binary representation with help of decimal_to_binary_util
    """"""
    values = ip.split('.')
    binary_list = []
    for val in values:
        binary_list.append(decimal_to_binary_util(val))
    return '.'.join(binary_list)","def local_binary_value(image: np.ndarray, x_coordinate: int, y_coordinate: int) -> int:
    """"""
    It takes an image, an x and y coordinate, and returns the
    decimal value of the local binary patternof the pixel
    at that coordinate

    :param image: the image to be processed
    :param x_coordinate: x coordinate of the pixel
    :param y_coordinate: the y coordinate of the pixel
    :return: The decimal value of the binary value of the pixels
    around the center pixel.
    """"""
    center = image[x_coordinate][y_coordinate]
    powers = [1, 2, 4, 8, 16, 32, 64, 128]
    if center is None:
        return 0
    binary_values = [get_neighbors_pixel(image, x_coordinate - 1, y_coordinate + 1, center), get_neighbors_pixel(image, x_coordinate, y_coordinate + 1, center), get_neighbors_pixel(image, x_coordinate - 1, y_coordinate, center), get_neighbors_pixel(image, x_coordinate + 1, y_coordinate + 1, center), get_neighbors_pixel(image, x_coordinate + 1, y_coordinate, center), get_neighbors_pixel(image, x_coordinate + 1, y_coordinate - 1, center), get_neighbors_pixel(image, x_coordinate, y_coordinate - 1, center), get_neighbors_pixel(image, x_coordinate - 1, y_coordinate - 1, center)]
    return sum((binary_value * power for (binary_value, power) in zip(binary_values, powers)))",0.6267465,0.006977669
